longitude,latitude,polygon_group,name_long
28.988442824018733,41.29993419042819,125-2-1,Turkey
28.806438429486743,41.05496206314856,125-2-1,Turkey
27.61901736828409,40.99982330989314,125-2-1,Turkey
27.19237674328238,40.69056570084242,125-2-1,Turkey
26.35800906749779,40.151993923496505,125-2-1,Turkey
26.04335127127257,40.61775360774317,125-2-1,Turkey
26.05694217296534,40.82412344010076,125-2-1,Turkey
26.294602085075667,40.93626129817413,125-2-1,Turkey
26.60419559093623,41.562114569661105,125-2-1,Turkey
26.1170418637208,41.82690460872456,125-2-1,Turkey
21.0200403174764,40.84272695572588,126-1-1,Albania
20.999989861747224,40.58000397395398,126-1-1,Albania
20.674996779063633,40.43499990494303,126-1-1,Albania
20.615000441172754,40.11000682225938,126-1-1,Albania
20.15001590341052,39.62499766698397,126-1-1,Albania
19.980000441170148,39.69499339452341,126-1-1,Albania
19.960001661873207,39.91500580500605,126-1-1,Albania
19.406081984136733,40.250773423822466,126-1-1,Albania
19.319058872157143,40.72723012955356,126-1-1,Albania
19.40354983895429,41.40956574153546,126-1-1,Albania
19.540027296637106,41.71998607031276,126-1-1,Albania
19.37176883309496,41.877547512370654,126-1-1,Albania
19.37176816334725,41.877550679783496,126-1-1,Albania
19.304486118250793,42.19574514420782,126-1-1,Albania
19.73805138517963,42.68824738216557,126-1-1,Albania
19.801613396898688,42.50009349219084,126-1-1,Albania
20.070700000000045,42.58863000000008,126-1-1,Albania
20.283754510181893,42.32025950781508,126-1-1,Albania
20.522950000000037,42.21787000000006,126-1-1,Albania
20.590246546680227,41.855408919283626,126-1-1,Albania
20.59024743010491,41.855404161133606,126-1-1,Albania
20.463175083099202,41.51508901627534,126-1-1,Albania
20.605181919037364,41.086226304685226,126-1-1,Albania
21.0200403174764,40.84272695572588,126-1-1,Albania
16.564808383864857,46.50375092221983,127-1-1,Croatia
16.8825150895953,46.38063182228444,127-1-1,Croatia
17.630066359129557,45.95176911069419,127-1-1,Croatia
18.45606245288286,45.75948110613615,127-1-1,Croatia
18.829824792873946,45.908872358025285,127-1-1,Croatia
19.072768995854176,45.52151113543209,127-1-1,Croatia
19.39047570158459,45.236515611342384,127-1-1,Croatia
19.005484597557594,44.86023449354299,127-1-1,Croatia
